customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,W,F,Master,588174.235,0.0,1000.0,0,Personal Auto,Other,2.704934
QZ44356,AZ,F,Bachelor,697953.59,0.0,94.0,0,Personal Auto,Other,1131.464935
AI49188,N,F,Bachelor,1288743.17,48767.0,108.0,0,Personal Auto,Other,566.472247
WW63253,Cali,M,Bachelor,764586.18,0.0,106.0,0,Corporate Auto,Other,529.881344
GA49547,W,M,High School or Below,536307.65,36357.0,68.0,0,Personal Auto,Other,17.269323
OC83172,Cali,F,Bachelor,825629.78,62902.0,69.0,0,Personal Auto,Other,159.383042
XZ87318,Cali,F,College,538089.86,55350.0,67.0,0,Corporate Auto,Other,321.6
CF85061,AZ,M,Master,721610.03,0.0,101.0,0,Corporate Auto,Other,363.02968
DY87989,Cali,M,Bachelor,2412750.4,14072.0,71.0,0,Corporate Auto,Other,511.2
BQ94931,Cali,F,College,738817.81,28812.0,93.0,0,Special Auto,Other,425.527834
SX51350,Cali,M,College,473899.2,0.0,67.0,0,Personal Auto,Other,482.4
VQ65197,Cali,F,College,819719.71,0.0,110.0,0,Personal Auto,Other,528.0
DP39365,Cali,F,Master,879879.7,77026.0,110.0,2,Corporate Auto,Other,472.029737
SJ95423,AZ,F,High School or Below,881901.89,99845.0,110.0,1,Corporate Auto,Other,528.0
IL66569,Cali,F,College,538443.17,83689.0,70.0,2,Corporate Auto,Other,307.139132
BW63560,Cali,F,Bachelor,746313.94,24599.0,64.0,1,Corporate Auto,Other,42.920271
FV94802,N,F,High School or Below,256686.78,25049.0,67.0,0,Personal Auto,Other,454.245098
OE15005,Cali,F,College,394524.16,28855.0,101.0,0,Personal Auto,Other,647.442031
WC83389,Cali,F,College,571033.31,51148.0,72.0,0,Personal Auto,Other,308.981664
FL50705,Cali,F,High School or Below,816261.71,66140.0,101.0,0,Corporate Auto,Other,484.8
ZK25313,Cali,F,High School or Below,287205.13,57749.0,74.0,0,Personal Auto,Other,355.2
QK46697,W,M,Bachelors,617710.93,61040.0,79.0,1,Personal Auto,Other,20.382876
YH23384,AZ,F,Bachelor,2412750.4,14072.0,71.0,0,Personal Auto,Other,511.2
TZ98966,N,F,Bachelor,245019.1,0.0,73.0,3,Corporate Auto,Other,554.376763
HM55802,Cali,F,Bachelor,239210.79,17870.0,61.0,0,Corporate Auto,Other,439.2
FS42516,Cali,F,College,580206.6,97541.0,72.0,0,Personal Auto,Other,389.185006
US89481,Cali,F,Bachelor,394637.21,0.0,111.0,0,Personal Auto,Other,799.2
HS14476,W,M,College,916206.32,29723.0,80.0,0,Personal Auto,Other,20.985105
GE62437,Cali,F,College,1290256.01,86584.0,111.0,2,Personal Auto,Other,532.8
EJ77678,Cali,F,Master,323536.05,75690.0,80.0,1,Personal Auto,Other,384.0
SV85652,AZ,F,College,245458.35,23158.0,63.0,1,Personal Auto,Other,322.294043
UL64533,N,F,High School or Below,1897545.61,65999.0,237.0,0,Corporate Auto,Luxury,615.927769
PF41800,Cali,F,Bachelor,471532.13,0.0,65.0,0,Personal Auto,Other,308.15089
HD95276,W,F,College,473787.17,0.0,130.0,0,Personal Auto,Other,23.820158
SK67821,Cali,F,Bachelor,493291.63,37260.0,62.0,0,Corporate Auto,Other,15.437681
YV55495,AZ,F,High School or Below,574422.97,68987.0,71.0,0,Personal Auto,Other,204.475147
KY38074,Cali,F,Bachelor,1389173.57,42305.0,117.0,0,Personal Auto,Other,561.6
DM79012,Cali,F,Master,738097.67,65706.0,91.0,0,Personal Auto,Other,436.8
CM61827,Cali,F,Bachelor,309003.41,0.0,90.0,0,Personal Auto,Other,648.0
WC35801,AZ,F,High School or Below,252163.31,53243.0,66.0,2,Personal Auto,Other,157.397849
QG25316,N,F,High School or Below,265206.18,0.0,70.0,1,Corporate Auto,Other,484.318536
MB98372,Cali,F,College,277104.5,50071.0,71.0,0,Corporate Auto,Other,18.918935
IL19217,Cali,F,Bachelor,393900.64,60021.0,99.0,0,Personal Auto,Other,882.871945
